epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,123.725,0.7744,1.27252,0.63136,0.97793,0,0.76124,0.54994,0.59296,0.43219,0.74619,0.52938,0.56021,0.37815,0.80694,1.67589,0.93065,1.03817,0,0.000348765,0.000348765,0.000348765
29,127.61,0.74594,1.2163,0.62615,0.9573,0,0.67595,0.54811,0.59242,0.41306,0.66607,0.53076,0.5592,0.37523,0.84041,1.7739,1.00088,1.03357,0,0.000344053,0.000344053,0.000344053
30,131.48,0.75703,1.25864,0.62421,0.96823,0,0.74779,0.55043,0.54649,0.37994,0.73467,0.5345,0.51528,0.35792,0.83771,1.90948,0.9975,1.03417,0,0.00033934,0.00033934,0.00033934
31,135.346,0.73536,1.27179,0.61649,0.96449,0,0.87428,0.52296,0.54866,0.40589,0.86069,0.50399,0.50822,0.35667,0.81085,1.60724,1.00783,1.03864,0,0.000334628,0.000334628,0.000334628
32,139.241,0.71539,1.22077,0.60566,0.95761,0,0.90321,0.52085,0.63445,0.47112,0.90079,0.48745,0.58279,0.43073,0.82973,1.72709,0.97402,1.03946,0,0.000329916,0.000329916,0.000329916
33,143.329,0.71549,1.1581,0.58484,0.95071,0,0.87798,0.53546,0.62983,0.47393,0.85429,0.50332,0.5858,0.44607,0.83581,1.56,0.97155,1.04227,0,0.000325203,0.000325203,0.000325203
34,147.488,0.72799,1.18425,0.60327,0.9497,0,0.76818,0.54643,0.60357,0.45691,0.73571,0.5102,0.55278,0.41124,0.80015,1.64201,0.99071,1.03689,0,0.000320491,0.000320491,0.000320491
35,151.375,0.71438,1.16857,0.61004,0.95524,0,0.85682,0.52199,0.60029,0.43843,0.83312,0.49965,0.55487,0.39447,0.85776,1.60919,0.99227,1.05163,0,0.000315778,0.000315778,0.000315778
36,155.227,0.70894,1.14315,0.57811,0.94767,0,0.75394,0.5541,0.63851,0.44617,0.72719,0.52011,0.59032,0.41786,0.80888,1.63549,0.96981,1.03677,0,0.000311066,0.000311066,0.000311066
37,159.108,0.73062,1.20994,0.60153,0.9635,0,0.78146,0.5254,0.63566,0.45323,0.7548,0.49558,0.594,0.40098,0.8571,1.60122,0.96495,1.04094,0,0.000306354,0.000306354,0.000306354
38,163.043,0.72365,1.15257,0.582,0.9549,0,0.83696,0.53078,0.64432,0.45638,0.68597,0.51801,0.54375,0.36155,0.82887,1.69528,0.90421,1.0294,0,0.000301641,0.000301641,0.000301641
39,167.135,0.71769,1.14205,0.57303,0.95135,0,0.82093,0.51184,0.55196,0.39973,0.80111,0.49004,0.46983,0.34371,0.85401,1.68354,0.94741,1.03269,0,0.000296929,0.000296929,0.000296929
40,171.123,0.72002,1.11902,0.5759,0.96217,0,0.84482,0.48285,0.62911,0.46002,0.81899,0.45433,0.58666,0.42769,0.79759,1.66598,0.96434,1.02835,0,0.000292216,0.000292216,0.000292216
41,175.13,0.68279,1.07561,0.54711,0.93368,0,0.84575,0.4815,0.5809,0.42776,0.83318,0.47037,0.55034,0.40946,0.80791,1.70042,0.92326,1.02187,0,0.000287504,0.000287504,0.000287504
42,179.239,0.65753,1.02756,0.51727,0.92943,0,0.86827,0.50623,0.59455,0.4287,0.84333,0.48567,0.55145,0.39617,0.84871,1.75192,0.92599,1.04218,0,0.000282792,0.000282792,0.000282792
43,183.244,0.69136,1.09048,0.56769,0.93808,0,0.87373,0.53423,0.64751,0.46259,0.84271,0.50441,0.60659,0.44415,0.8065,1.66797,0.90544,1.01968,0,0.000278079,0.000278079,0.000278079
44,188.077,0.67988,1.07036,0.54772,0.9502,0,0.8103,0.52553,0.64457,0.48252,0.7842,0.50498,0.60224,0.4581,0.8159,1.59009,0.91993,1.02401,0,0.000273367,0.000273367,0.000273367
45,192.228,0.64362,1.04967,0.51513,0.93281,0,0.82163,0.5158,0.60266,0.43706,0.80786,0.5045,0.57172,0.40933,0.8208,1.70353,0.9018,1.03362,0,0.000268654,0.000268654,0.000268654
46,196.285,0.6747,1.08261,0.54018,0.94326,0,0.81403,0.4775,0.63811,0.47675,0.82017,0.42557,0.59124,0.4462,0.84371,1.64172,0.93646,1.03563,0,0.000263942,0.000263942,0.000263942
47,200.21,0.66464,1.08259,0.53375,0.93838,0,0.78056,0.50542,0.639,0.46102,0.7327,0.48267,0.55976,0.38604,0.78565,1.65271,0.92456,1.01519,0,0.00025923,0.00025923,0.00025923
48,204.191,0.64849,1.01426,0.51201,0.92497,0,0.75389,0.53662,0.63117,0.46281,0.79434,0.41177,0.52254,0.36673,0.85901,1.6134,0.96865,1.04981,0,0.000254517,0.000254517,0.000254517
49,208.091,0.64489,0.99972,0.51004,0.92384,0,0.60833,0.5686,0.64175,0.47809,0.81368,0.40655,0.53037,0.36707,0.81008,1.60271,0.92979,1.03345,0,0.000249805,0.000249805,0.000249805
50,212.017,0.68217,1.05659,0.52475,0.93942,0,0.74619,0.55563,0.64007,0.43975,0.50259,0.54125,0.52731,0.36106,0.8253,1.5941,0.93261,1.04189,0,0.000245092,0.000245092,0.000245092
51,215.933,0.65844,1.03127,0.51686,0.92703,0,0.57235,0.63763,0.6364,0.4351,0.54136,0.53575,0.53654,0.37246,0.82767,1.61404,0.92704,1.0438,0,0.00024038,0.00024038,0.00024038
52,219.881,0.64947,0.98132,0.50539,0.92327,0,0.76951,0.58769,0.63267,0.45917,0.67204,0.49668,0.53176,0.37191,0.79203,1.50544,0.94381,1.02238,0,0.000235668,0.000235668,0.000235668
53,223.871,0.67563,1.0629,0.539,0.9467,0,0.64237,0.60346,0.61831,0.47141,0.63453,0.59394,0.59692,0.44388,0.793,1.48932,1.00167,1.01855,0,0.000230955,0.000230955,0.000230955
54,227.838,0.63681,1.00555,0.48065,0.92472,0,0.75886,0.5191,0.59048,0.45216,0.70859,0.41861,0.52563,0.39535,0.81979,1.53373,0.9801,1.024,0,0.000226243,0.000226243,0.000226243
55,231.819,0.64033,0.96254,0.49118,0.9305,0,0.76755,0.54181,0.63191,0.47244,0.86998,0.40479,0.51858,0.37532,0.80855,1.63612,0.97388,1.01855,0,0.00022153,0.00022153,0.00022153
56,235.874,0.6545,0.99211,0.5105,0.92965,0,0.69161,0.55115,0.63299,0.46959,0.67918,0.44466,0.52863,0.38407,0.78586,1.58618,0.98011,1.00899,0,0.000216818,0.000216818,0.000216818
57,239.794,0.65279,1.00387,0.50066,0.94245,0,0.86015,0.52805,0.62703,0.44547,0.77718,0.43205,0.52409,0.35773,0.77828,1.55265,0.97702,1.01669,0,0.000212106,0.000212106,0.000212106
58,243.776,0.63069,0.97742,0.48983,0.92564,0,0.77584,0.5137,0.63271,0.48282,0.87465,0.41584,0.52946,0.37131,0.7811,1.58501,0.96707,1.02811,0,0.000207393,0.000207393,0.000207393
59,247.71,0.6505,1.02725,0.49314,0.92592,0,0.74881,0.51786,0.62614,0.4719,0.8776,0.39977,0.52919,0.34082,0.78649,1.6598,0.99566,1.03086,0,0.000202681,0.000202681,0.000202681
60,251.66,0.62278,0.97795,0.47516,0.90786,0,0.72612,0.48991,0.61883,0.47388,0.71672,0.47128,0.59226,0.4147,0.78106,1.64759,1.03042,1.01846,0,0.000197968,0.000197968,0.000197968
61,255.607,0.61145,0.89432,0.47179,0.91841,0,0.82031,0.46012,0.62815,0.46827,0.81047,0.44988,0.59904,0.45757,0.76299,1.63222,1.05114,1.00584,0,0.000193256,0.000193256,0.000193256
62,259.539,0.58894,0.94261,0.46014,0.9117,0,0.83919,0.4992,0.62037,0.46251,0.81855,0.47824,0.58779,0.45812,0.76442,1.64204,1.01859,0.99796,0,0.000188544,0.000188544,0.000188544
63,263.512,0.61032,0.94479,0.46867,0.91188,0,0.85911,0.5342,0.59907,0.45131,0.83809,0.51661,0.55891,0.4266,0.74955,1.64272,0.98253,1.00104,0,0.000183831,0.000183831,0.000183831
64,267.411,0.61873,0.95789,0.4695,0.92252,0,0.88466,0.53153,0.60416,0.43881,0.86285,0.51228,0.55714,0.41127,0.77168,1.74039,0.94898,1.01592,0,0.000179119,0.000179119,0.000179119
65,271.324,0.58694,0.88834,0.44372,0.89723,0,0.90873,0.52237,0.5902,0.44,0.89326,0.50638,0.55907,0.37182,0.79617,1.69193,0.97586,1.02079,0,0.000174406,0.000174406,0.000174406
66,275.183,0.60541,0.95382,0.46599,0.9119,0,0.91102,0.51292,0.57677,0.4318,0.89274,0.49615,0.55921,0.39965,0.77354,1.68808,0.97364,1.00875,0,0.000169694,0.000169694,0.000169694
67,279.11,0.59639,0.90086,0.45382,0.90863,0,0.88991,0.52529,0.57298,0.42355,0.86537,0.5001,0.59685,0.40407,0.76917,1.61141,0.94755,1.00272,0,0.000164982,0.000164982,0.000164982
68,283.061,0.59655,0.89219,0.44343,0.91415,0,0.86236,0.52256,0.62277,0.45196,0.84674,0.50663,0.59585,0.43165,0.78154,1.63088,1.00568,1.02078,0,0.000160269,0.000160269,0.000160269
69,286.971,0.60352,0.92627,0.44337,0.90418,0,0.68648,0.52266,0.62042,0.44659,0.66648,0.50211,0.58743,0.40506,0.81349,1.68939,1.05706,1.03566,0,0.000155557,0.000155557,0.000155557
70,290.973,0.58415,0.89997,0.44533,0.90612,0,0.79324,0.50898,0.61179,0.46571,0.77484,0.49088,0.57798,0.43893,0.79498,1.82762,1.04575,1.0206,0,0.000150844,0.000150844,0.000150844
71,294.953,0.58982,0.91855,0.44311,0.91073,0,0.66342,0.53354,0.6163,0.4887,0.84307,0.47575,0.57886,0.44295,0.79548,1.82614,1.0991,1.02666,0,0.000146132,0.000146132,0.000146132
